index,nerdiness
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,0
521,0
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,1
724,0
725,0
726,1
727,1
728,1
729,0
730,0
731,0
732,1
733,1
734,0
735,1
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,1
750,1
751,1
752,0
753,1
754,0
755,0
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,1
781,0
782,1
783,0
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,0
792,1
793,1
794,1
795,0
796,0
797,1
798,0
799,1
800,0
801,1
802,1
803,1
804,0
805,0
806,1
807,0
808,0
809,0
810,1
811,0
